,eps,min_pts,clusters,len_clusters,noise
179,10,100,1,[1317],0
180,10,150,1,[1317],0
181,10,200,1,[1317],0
182,10,250,1,[1317],0
183,10,300,1,[1317],0
184,10,350,1,[1317],0
185,10,400,1,[1317],0
186,10,450,1,[1317],0
187,10,500,1,[1317],0
188,10,750,1,[1317],0
189,10,1000,1,[1317],0
190,11,2,1,[1317],0
191,11,5,1,[1317],0
192,11,7,1,[1317],0
193,11,10,1,[1317],0
194,11,15,1,[1317],0
195,11,20,1,[1317],0
196,11,25,1,[1317],0
197,11,50,1,[1317],0
198,11,100,1,[1317],0
199,11,150,1,[1317],0
200,11,200,1,[1317],0
201,11,250,1,[1317],0
202,11,300,1,[1317],0
203,11,350,1,[1317],0
204,11,400,1,[1317],0
205,11,450,1,[1317],0
206,11,500,1,[1317],0
207,11,750,1,[1317],0
208,11,1000,1,[1317],0
209,12,2,1,[1317],0
210,12,5,1,[1317],0
211,12,7,1,[1317],0
212,12,10,1,[1317],0
213,12,15,1,[1317],0
214,12,20,1,[1317],0
215,12,25,1,[1317],0
216,12,50,1,[1317],0
217,12,100,1,[1317],0
218,12,150,1,[1317],0
219,12,200,1,[1317],0
220,12,250,1,[1317],0
221,12,300,1,[1317],0
222,12,350,1,[1317],0
223,12,400,1,[1317],0
224,12,450,1,[1317],0
225,12,500,1,[1317],0
226,12,750,1,[1317],0
227,12,1000,1,[1317],0
228,13,2,1,[1317],0
229,13,5,1,[1317],0
230,13,7,1,[1317],0
231,13,10,1,[1317],0
232,13,15,1,[1317],0
233,13,20,1,[1317],0
234,13,25,1,[1317],0
235,13,50,1,[1317],0
236,13,100,1,[1317],0
237,13,150,1,[1317],0
238,13,200,1,[1317],0
239,13,250,1,[1317],0
240,13,300,1,[1317],0
241,13,350,1,[1317],0
242,13,400,1,[1317],0
243,13,450,1,[1317],0
244,13,500,1,[1317],0
245,13,750,1,[1317],0
246,13,1000,1,[1317],0
247,14,2,1,[1317],0
248,14,5,1,[1317],0
249,14,7,1,[1317],0
250,14,10,1,[1317],0
251,14,15,1,[1317],0
252,14,20,1,[1317],0
253,14,25,1,[1317],0
254,14,50,1,[1317],0
255,14,100,1,[1317],0
256,14,150,1,[1317],0
257,14,200,1,[1317],0
258,14,250,1,[1317],0
259,14,300,1,[1317],0
260,14,350,1,[1317],0
261,14,400,1,[1317],0
262,14,450,1,[1317],0
263,14,500,1,[1317],0
264,14,750,1,[1317],0
265,14,1000,1,[1317],0
266,15,2,1,[1317],0
267,15,5,1,[1317],0
268,15,7,1,[1317],0
269,15,10,1,[1317],0
270,15,15,1,[1317],0
271,15,20,1,[1317],0
272,15,25,1,[1317],0
273,15,50,1,[1317],0
274,15,100,1,[1317],0
275,15,150,1,[1317],0
276,15,200,1,[1317],0
277,15,250,1,[1317],0
278,15,300,1,[1317],0
279,15,350,1,[1317],0
280,15,400,1,[1317],0
281,15,450,1,[1317],0
282,15,500,1,[1317],0
283,15,750,1,[1317],0
284,15,1000,1,[1317],0
